Indicator,Category,Units,period_date,value
Occupancy,Statewide- All,percent,2009-01-01,
Occupancy,Oahu- All,percent,2009-01-01,
Occupancy,Maui CTY- All,percent,2009-01-01,
Occupancy,Hawaii ISL- All,percent,2009-01-01,
Occupancy,Kauai- All,percent,2009-01-01,
Occupancy,Statewide- Luxury,percent,2009-01-01,
Occupancy,Waikiki,percent,2009-01-01,
Occupancy,Wailea,percent,2009-01-01,
Occupancy,Kohala Coast,percent,2009-01-01,
Occupancy,Statewide- Upper Upscale,percent,2009-01-01,
Occupancy,Other Oahu,percent,2009-01-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2009-01-01,
Occupancy,Statewide- Upscale,percent,2009-01-01,
Occupancy,Oahu- Luxury,percent,2009-01-01,
Occupancy,Other Maui CTY,percent,2009-01-01,
Occupancy,Statewide- Upper Midscale,percent,2009-01-01,
Occupancy,Oahu- Upper Upscale,percent,2009-01-01,
Occupancy,Maui CTY- Luxury,percent,2009-01-01,
Occupancy,Statewide- Midscale & Economy,percent,2009-01-01,
Occupancy,Oahu- Upscale,percent,2009-01-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-01-01,
Occupancy,Oahu- Upper Midscale,percent,2009-01-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-01-01,
Avg daily rate,Statewide- All,dollar,2009-01-01,
Avg daily rate,Oahu- All,dollar,2009-01-01,
Avg daily rate,Maui CTY- All,dollar,2009-01-01,
Avg daily rate,Hawaii ISL- All,dollar,2009-01-01,
Avg daily rate,Kauai- All,dollar,2009-01-01,
Avg daily rate,Statewide- Luxury,dollar,2009-01-01,
Avg daily rate,Waikiki,dollar,2009-01-01,
Avg daily rate,Wailea,dollar,2009-01-01,
Avg daily rate,Kohala Coast,dollar,2009-01-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2009-01-01,
Avg daily rate,Other Oahu,dollar,2009-01-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2009-01-01,
Avg daily rate,Statewide- Upscale,dollar,2009-01-01,
Avg daily rate,Oahu- Luxury,dollar,2009-01-01,
Avg daily rate,Other Maui CTY,dollar,2009-01-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2009-01-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2009-01-01,
Avg daily rate,Maui CTY- Luxury,dollar,2009-01-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2009-01-01,
Avg daily rate,Oahu- Upscale,dollar,2009-01-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2009-01-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2009-01-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2009-01-01,
RevPAR,Statewide- All,dollar,2009-01-01,
RevPAR,Oahu- All,dollar,2009-01-01,
RevPAR,Maui CTY- All,dollar,2009-01-01,
RevPAR,Hawaii ISL- All,dollar,2009-01-01,
RevPAR,Kauai- All,dollar,2009-01-01,
RevPAR,Statewide- Luxury,dollar,2009-01-01,
RevPAR,Waikiki,dollar,2009-01-01,
RevPAR,Wailea,dollar,2009-01-01,
RevPAR,Kohala Coast,dollar,2009-01-01,
RevPAR,Statewide- Upper Upscale,dollar,2009-01-01,
RevPAR,Other Oahu,dollar,2009-01-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2009-01-01,
RevPAR,Statewide- Upscale,dollar,2009-01-01,
RevPAR,Oahu- Luxury,dollar,2009-01-01,
RevPAR,Other Maui CTY,dollar,2009-01-01,
RevPAR,Statewide- Upper Midscale,dollar,2009-01-01,
RevPAR,Oahu- Upper Upscale,dollar,2009-01-01,
RevPAR,Maui CTY- Luxury,dollar,2009-01-01,
RevPAR,Statewide- Midscale & Economy,dollar,2009-01-01,
RevPAR,Oahu- Upscale,dollar,2009-01-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2009-01-01,
RevPAR,Oahu- Upper Midscale,dollar,2009-01-01,
RevPAR,Oahu- Midscale & Economy,dollar,2009-01-01,
Occupancy,Statewide- All,percent,2009-02-01,
Occupancy,Oahu- All,percent,2009-02-01,
Occupancy,Maui CTY- All,percent,2009-02-01,
Occupancy,Hawaii ISL- All,percent,2009-02-01,
Occupancy,Kauai- All,percent,2009-02-01,
Occupancy,Statewide- Luxury,percent,2009-02-01,
Occupancy,Waikiki,percent,2009-02-01,
Occupancy,Wailea,percent,2009-02-01,
Occupancy,Kohala Coast,percent,2009-02-01,
Occupancy,Statewide- Upper Upscale,percent,2009-02-01,
Occupancy,Other Oahu,percent,2009-02-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2009-02-01,
Occupancy,Statewide- Upscale,percent,2009-02-01,
Occupancy,Oahu- Luxury,percent,2009-02-01,
Occupancy,Other Maui CTY,percent,2009-02-01,
Occupancy,Statewide- Upper Midscale,percent,2009-02-01,
Occupancy,Oahu- Upper Upscale,percent,2009-02-01,
Occupancy,Maui CTY- Luxury,percent,2009-02-01,
Occupancy,Statewide- Midscale & Economy,percent,2009-02-01,
Occupancy,Oahu- Upscale,percent,2009-02-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-02-01,
Occupancy,Oahu- Upper Midscale,percent,2009-02-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-02-01,
Avg daily rate,Statewide- All,dollar,2009-02-01,
Avg daily rate,Oahu- All,dollar,2009-02-01,
Avg daily rate,Maui CTY- All,dollar,2009-02-01,
Avg daily rate,Hawaii ISL- All,dollar,2009-02-01,
Avg daily rate,Kauai- All,dollar,2009-02-01,
